ProductId,dominant_sentiment,normalized_sentiment_score,Average_Rating,category,Word_Freq
B0007A0AQM,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B0007A0AQW,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B000BRR8VQ,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B000CNB4LE,negative,0.0,3.21,Food and Beverage,"coconut, water, zico, taste, like"
B000ENUC3S,positive,0.6893203883495146,4.69,Food and Beverage,"bars, bar, pie, like, good"
B000GAT6NG,positive,0.9223300970873787,4.91,Beauty Products,"oil, coconut, use, skin, product"
B000H0ZJHW,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B000H0ZJIG,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B000H1217M,positive,0.7669902912621359,4.78,Pet Supplies,"treats, dog, training, loves, small"
B000KV61FC,positive,0.4563106796116505,4.3,Pet Supplies,"toy, dog, one, get, treats"
B000KV7ZGQ,positive,0.4563106796116505,4.3,Pet Supplies,"toy, dog, one, get, treats"
B000NMJWZO,positive,1.0,4.95,Food and Beverage,"mix, pancakes, pamelas, gluten, free"
B000PDWBKO,positive,0.6310679611650486,4.44,Food and Beverage,"popcorn, great, salt, like, use"
B000PDY3HI,positive,0.6310679611650486,4.44,Food and Beverage,"popcorn, great, salt, like, use"
B000PDY3P0,positive,0.6310679611650486,4.44,Food and Beverage,"popcorn, great, salt, like, use"
B000UBD88A,positive,0.5339805825242718,4.31,Food and Beverage,"coffee, senseo, pods, cup, like"
B000VK8AVK,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B0013A0QXC,positive,0.5339805825242718,4.31,Food and Beverage,"coffee, senseo, pods, cup, like"
B0013NUGDE,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B0018KLPFK,positive,0.6893203883495146,4.69,Food and Beverage,"bars, bar, pie, like, good"
B0018KR8V0,positive,0.6893203883495146,4.69,Food and Beverage,"bars, bar, pie, like, good"
B001AS1A4Q,positive,0.7475728155339806,4.5,Beauty Products,"energy, hour, get, product, like"
B001D09KAM,positive,0.6019417475728155,4.47,Food and Beverage,"bars, bar, kind, good, one"
B001D0DMME,positive,0.6019417475728155,4.47,Food and Beverage,"bars, bar, kind, good, one"
B001D0DMMY,positive,0.6019417475728155,4.47,Food and Beverage,"bars, bar, kind, good, one"
B001E8DHPW,positive,0.9223300970873787,4.91,Beauty Products,"oil, coconut, use, skin, product"
B001EO5Q64,positive,0.7864077669902912,4.88,Beauty Products,"oil, coconut, use, like, hair"
B001EO5U3I,positive,0.7669902912621359,4.82,Food and Beverage,"oatmeal, oats, cut, steel, like"
B001LG940E,positive,0.2621359223300971,3.66,Food and Beverage,"juice, cherry, like, drink, black"
B001LG945O,positive,0.21359223300970873,3.62,Food and Beverage,"juice, orange, drink, soda, like"
B001LGGH40,positive,0.34951456310679613,3.57,Food and Beverage,"drink, juice, kiwi, switch, like"
B001RVFEP2,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B001RVFERK,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B001VJ0B0I,positive,0.0970873786407767,3.55,Pet Supplies,"food, dog, dogs, beneful, bag"
B0026KNQSA,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B0026KPDG8,positive,0.5242718446601942,4.5,Food and Beverage,"chips, like, flavor, love, taste"
B0029XLH4Y,positive,0.47572815533980584,4.34,Food and Beverage,"coffee, jet, fuel, strong, like"
B0029ZAOW8,positive,0.7475728155339806,4.5,Beauty Products,"energy, hour, get, product, like"
B002IEVJRY,positive,0.4077669902912621,3.9,Food and Beverage,"coffee, drink, like, taste, illy"
B002IEZJMA,positive,0.34951456310679613,3.64,Food and Beverage,"coffee, drink, like, sugar, taste"
B002LANN56,positive,0.34951456310679613,3.83,Pet Supplies,"food, dog, dogs, like, chef"
B002QWHJOU,positive,0.6504854368932039,4.68,Pet Supplies,"greenies, dog, dogs, teeth, one"
B000DZFMEQ,positive,0.8252427184466019,4.71,Food and Beverage,"bread, mix, like, gluten, good"
